"PubMed Filters Report","Jan-Apr 2026","Generated 2026-05-18"

"Medline and PrePrints",""
"Total",583212
"* MEDLINE",218515
"* Exclude Preprints",576518
"* Preprint",6694

"Text Availability",""
"* Abstract",506527
"* Free Full Text",352110
"* Full Text",568929

"Associated Data",""
"Associated Data",11557

"Language (only showing English)",""
"English",573031
"English Abstract",7591

"Species",""
"Humans",164823
"Other Animals",59570

"Sex",""
"Male",93839
"Female",95037

"Age",""
"Child: birth-18 years",24419
"Newborn: birth-1 month",3346
"Infant: birth-23 months",5271
"Infant: 1-23 months",1925
"Preschool Child: 2-5 years",7150
"Child: 6-12 years",11810
"Adolescent: 13-18 years",16180
"Adult: 19+ years",75070
"Young Adult: 19-24 years",20715
"Adult: 19-44 years",54244
"Middle Aged + Aged: 45+ years",58082
"Middle Aged: 45-64 years",53527
"Aged: 65+ years",39285
"80 and over: 80+ years",10547

"Article Type (sorted)",""
"Article Type Total (sum, overlaps)",221975
"Review",71489
"Case Reports",22096
"Systematic Review",17862
"Letter",15280
"Clinical Study",12165
"Editorial",11029
"Published Erratum",8641
"Comparative Study",7008
"Clinical Trial",6536
"Multicenter Study",5454
"Controlled Clinical Trial",5441
"Randomized Controlled Trial",5418
"Research Support, Non-U.S. Gov't",5245
"Observational Study",4568
"Meta-Analysis",4521
"Comment",3162
"News",1989
"Validation Study",1828
"Research Support, U.S. Gov't",1194
"Books and Documents",1158
"Evaluation Study",1096
"Clinical Trial Protocol",976
"Research Support, N.I.H., Extramural",946
"Historical Article",882
"Electronic Supplementary Materials",756
"Video-Audio Media",756
"Guideline",563
"Practice Guideline",551
"Clinical Trial, Phase II",513
"Dataset",404
"Clinical Trial, Phase I",363
"Clinical Trial, Phase III",355
"Expression of Concern",321
"Introductory Journal Article",269
"Research Support, U.S. Gov't, Non-P.H.S.",218
"Biography",135
"Interview",102
"Clinical Trial, Veterinary",93
"Research Support, N.I.H., Intramural",87
"Pragmatic Clinical Trial",81
"Randomized Controlled Trial, Veterinary",74
"Equivalence Trial",64
"Retracted Publication",57
"Twin Study",50
"Research Support, U.S. Gov't, P.H.S.",47
"Clinical Trial, Phase IV",45
"Personal Narrative",33
"Lecture",21
"Observational Study, Veterinary",12
"Address",5
"Corrected and Republished Article",5
"Patient Education Handout",4
"Webcast",3
"Periodical Index",2
"Adaptive Clinical Trial",1
"Clinical Conference",1
"Retraction of Publication",0
"Congress",0
"Portrait",0
"Classical Article",0
"Legal Case",0
"Autobiography",0
"Technical Report",0
"Collected Work",0
"Festschrift",0
"Overall",0
"Directory",0
"Duplicate Publication",0
"Research Support, American Recovery and Reinvestment Act",0
"Scientific Integrity Review",0
"Consensus Development Conference",0
"Consensus Development Conference, NIH",0
"Dictionary",0
"Government Publication",0
"Interactive Tutorial",0
"Legislation",0
"Newspaper Article",0
"Bibliography",0