"PubMed Summary Report","2020-2026","Generated 2026-04-24"

"","2020","2021","2022","2023","2024","2025","Mar YTD"
"# Articles - [crdt] create date",1459191,1558299,1589538,1552322,1562352,1710811,438249
"medline [sb]",1037039,1048703,1013611,943175,952281,921315,163811
"indexingmethod_automated",287036,571493,873323,824818,707069,751117,156323
"inprocess [sb]",45,126,170,3324,44579,149874,45844
"publisher [sb]",7747,7967,11879,17161,18812,66375,86805
"pubmednotmedline [sb]",414360,501503,563878,588662,546657,573168,141789
"all [sb]",1459191,1558299,1589538,1552322,1562352,1710811,438249
"Preprints",1524,1387,842,13944,16385,19276,4745
"Corrections (erratum notices)",17971,19903,19177,19293,21636,25001,6572
"Retractions",756,2693,2915,5987,5672,6588,3422
"hasabstract (has abstract)",1271986,1369155,1397007,1351365,1393141,1532285,382795
""Full Text"[sb] (full text links)",1426500,1526041,1561152,1525575,1536588,1677133,427536
""free full text"[sb] (free links)",824881,971573,1063367,1010397,999343,1086329,263927
"Free Full Text (percent)",0.5653,0.6235,0.6690,0.6509,0.6396,0.6350,0.6022
"orcid [auid] popular author ID",561665,694166,744492,698852,718685,808832,205573
"PubMed % medline",0.7107,0.6730,0.6377,0.6076,0.6095,0.5385,0.3738
"PubMed Central (PMC) Totals",791617,911771,1039705,964366,911358,1055701,284157
"pmc[sb] (PMC in PubMed)",711372,850848,950394,883320,861392,950392,218956
"percent of PubMed from PMC",0.4875,0.5460,0.5979,0.5690,0.5513,0.5555,0.4996
"pubmed pmc[sb] medline[sb]",403354,440961,459179,392711,399501,422857,73209
"PMC & medline % in PubMed",0.2764,0.2830,0.2889,0.2530,0.2557,0.2472,0.1670
"systematic [sb] (sys reviews)",34780,41023,43676,43248,46327,54919,14052
"Clinical Trials *",39132,40476,37227,36043,37678,40337,7788
"Cancer",233373,244282,244536,237997,243477,260918,63421
"AIDS (Custom query)",20217,20265,19734,19162,19959,21655,5120
"Complement Med (Custom)",18509,20390,20583,23975,24077,27942,7113
"Light Therapy (custom)",5548,5276,4556,4605,5996,6659,1307
"Veterinary OR Zoo",39660,42683,42689,39524,41987,47127,11531
"Etiology/Broad [filter]",475925,508618,505511,491858,519237,588160,145307
"Diagnosis/Broad [filter]",302385,314063,306199,298704,318538,361428,89163
"Therapy/Broad [filter]",230842,230471,234262,225945,241311,267669,60302
"Prognosis/Broad [filter]",238026,253306,245211,238797,258261,299117,77486
"Clinical Prediction Guides/Broad[filter]",380022,417915,425016,416514,449600,521584,137290
"systematic [sb] (sys reviews)",0.0238,0.0263,0.0275,0.0279,0.0297,0.0321,0.0321
"Clinical Trials *",0.0268,0.0260,0.0234,0.0232,0.0241,0.0236,0.0178
"Cancer",0.1599,0.1568,0.1538,0.1533,0.1558,0.1525,0.1447
"AIDS (Custom query)",0.0139,0.0130,0.0124,0.0123,0.0128,0.0127,0.0117
"Complement Med (Custom)",0.0127,0.0131,0.0129,0.0154,0.0154,0.0163,0.0162
"Light Therapy (custom)",0.0038,0.0034,0.0029,0.0030,0.0038,0.0039,0.0030
"Etiology/Broad [filter]",0.3262,0.3264,0.3180,0.3169,0.3323,0.3438,0.3316
"Diagnosis/Broad [filter]",0.2072,0.2015,0.1926,0.1924,0.2039,0.2113,0.2035
"Therapy/Broad [filter]",0.1582,0.1479,0.1474,0.1456,0.1545,0.1565,0.1376
"Prognosis/Broad [filter]",0.1631,0.1626,0.1543,0.1538,0.1653,0.1748,0.1768
"Clinical Prediction Guides/Broad[filter]",0.2604,0.2682,0.2674,0.2683,0.2878,0.3049,0.3133